Answer,Score,First Guess,Second Guess,Third Guess,Fourth Guess,Fifth Guess,Sixth Guess
clack,5,salet,along,flack,black,clack,
blunt,2,salet,blunt,,,,
filer,2,salet,filer,,,,
rehab,4,salet,abide,beach,rehab,,
chuck,4,salet,brick,chock,chuck,,
cigar,4,salet,acorn,chair,cigar,,
brook,3,salet,brick,brook,,,
hinge,4,salet,begun,gnome,hinge,,
revue,4,salet,begun,demur,revue,,
shall,3,salet,scald,shall,,,
boast,3,salet,ascot,boast,,,
ashen,2,salet,ashen,,,,
drain,5,salet,acorn,brain,grain,drain,
cargo,3,salet,bacon,cargo,,,
chime,5,salet,begun,choke,chide,chime,
carol,3,salet,badly,carol,,,
loser,2,salet,loser,,,,
arise,3,salet,abuse,arise,,,
cruel,3,salet,bluer,cruel,,,
swing,5,salet,scion,shiny,suing,swing,
avian,4,salet,acorn,admin,avian,,
cynic,5,salet,brick,cumin,conic,cynic,
known,4,salet,brick,hunky,known,,
otter,4,salet,inter,outer,otter,,
close,2,salet,close,,,,
gayly,4,salet,badly,gaily,gayly,,
aging,4,salet,acorn,aping,aging,,
psalm,3,salet,clash,psalm,,,
billy,3,salet,bulky,billy,,,
icily,4,salet,blimp,child,icily,,
fluid,3,salet,blimp,fluid,,,
lowly,5,salet,blimp,could,wooly,lowly,
flash,3,salet,clash,flash,,,
alive,3,salet,agile,alive,,,
creep,3,salet,bicep,creep,,,
crush,3,salet,bison,crush,,,
nobly,3,salet,blimp,nobly,,,
semen,4,salet,screw,shied,semen,,
sheet,2,salet,sheet,,,,
foray,3,salet,acorn,foray,,,
demur,3,salet,begun,demur,,,
pedal,6,salet,agile,bleak,decal,medal,pedal
cling,3,salet,blimp,cling,,,
bused,3,salet,usher,bused,,,
false,2,salet,false,,,,
joust,3,salet,crust,joust,,,
brash,3,salet,arson,brash,,,
olden,3,salet,bluer,olden,,,
pecan,4,salet,abide,cheap,pecan,,
barge,3,salet,badge,barge,,,
brand,3,salet,acorn,brand,,,
buxom,4,salet,brick,bough,buxom,,
broad,3,salet,acorn,broad,,,
saute,2,salet,saute,,,,
fable,3,salet,cable,fable,,,
mangy,4,salet,bacon,handy,mangy,,
detox,4,salet,berth,fetid,detox,,
frill,4,salet,blimp,child,frill,,
belie,4,salet,belch,below,belie,,
plier,4,salet,bluer,flier,plier,,
begin,3,salet,begun,begin,,,
armor,5,salet,acorn,abhor,ardor,armor,
crass,4,salet,arson,crash,crass,,
axion,3,salet,acorn,axion,,,
proud,4,salet,brick,drown,proud,,
moral,4,salet,along,coral,moral,,
eaten,4,salet,cater,matey,eaten,,
butch,4,salet,birth,botch,butch,,
elude,4,salet,bloke,flume,elude,,
plaza,5,salet,along,flack,plaid,plaza,
chime,5,salet,begun,choke,chide,chime,
canoe,3,salet,badge,canoe,,,
aging,4,salet,acorn,aping,aging,,
swing,5,salet,scion,shiny,suing,swing,
front,4,salet,brunt,print,front,,
decay,4,salet,abide,cedar,decay,,
brand,3,salet,acorn,brand,,,
acorn,2,salet,acorn,,,,
broil,3,salet,blimp,broil,,,
dowdy,5,salet,brick,dough,downy,dowdy,
motor,4,salet,birth,truck,motor,,
dying,4,salet,brick,doing,dying,,
sheen,4,salet,screw,shied,sheen,,
bulky,2,salet,bulky,,,,
clump,3,salet,blimp,clump,,,
clean,4,salet,agile,bleak,clean,,
enema,5,salet,abide,cheap,omega,enema,
civil,4,salet,blimp,girly,civil,,
algae,3,salet,agile,algae,,,
arise,4,salet,abuse,arose,arise,,
crock,4,salet,brick,frock,crock,,
shush,4,salet,scion,shrub,shush,,
eerie,6,salet,begun,decor,jerky,verve,eerie
mouth,4,salet,birth,month,mouth,,
night,4,salet,brunt,ingot,night,,
intro,3,salet,birth,intro,,,
knead,4,salet,abide,cedar,knead,,
boney,3,salet,bicep,boney,,,
world,4,salet,blimp,could,world,,
alibi,4,salet,along,album,alibi,,
drool,4,salet,blimp,could,drool,,
snake,4,salet,scare,shade,snake,,
kneel,6,salet,bluer,dowel,impel,excel,kneel
berth,2,salet,berth,,,,
glove,4,salet,bloke,clone,glove,,
cabin,3,salet,bacon,cabin,,,
brace,5,salet,abide,brake,brave,brace,
elbow,3,salet,bloke,elbow,,,
otter,4,salet,inter,outer,otter,,
femur,3,salet,begun,femur,,,
slack,3,salet,scald,slack,,,
anvil,3,salet,along,anvil,,,
raspy,4,salet,basic,mason,raspy,,
craft,3,salet,abort,craft,,,
annul,4,salet,along,anvil,annul,,
gipsy,3,salet,bison,gipsy,,,
locus,3,salet,blush,locus,,,
fiery,5,salet,begun,choke,edify,fiery,
early,3,salet,cable,early,,,
match,5,salet,batch,patch,watch,match,
swine,5,salet,scone,shine,spine,swine,
fella,3,salet,delay,fella,,,
coast,3,salet,ascot,coast,,,
munch,3,salet,brick,munch,,,
waist,2,salet,waist,,,,
clash,2,salet,clash,,,,
maybe,3,salet,badge,maybe,,,
kneed,5,salet,bicep,dozen,under,kneed,
cinch,6,salet,brick,finch,pinch,winch,cinch
decry,4,salet,begun,decor,decry,,
lasso,3,salet,basal,lasso,,,
steel,2,salet,steel,,,,
drown,3,salet,brick,drown,,,
berth,3,salet,brute,berth,,,
clean,5,salet,agile,bleak,clear,clean,
broil,3,salet,blimp,broil,,,
eerie,6,salet,begun,decor,jerky,verve,eerie
crypt,3,salet,brunt,crypt,,,
ditty,5,salet,birth,minty,fifty,ditty,
bylaw,3,salet,aglow,bylaw,,,
crate,3,salet,acute,crate,,,
admin,3,salet,adorn,admin,,,
choke,3,salet,begun,choke,,,
assay,3,salet,arson,assay,,,
shove,4,salet,scone,shore,shove,,
river,6,salet,bicep,diner,fixer,giver,river
nobly,3,salet,blimp,nobly,,,
liege,4,salet,bloke,guile,liege,,
cigar,4,salet,adorn,graph,cigar,,
crave,5,salet,abide,chafe,crane,crave,
pence,6,salet,begun,denim,wench,fence,pence
ember,4,salet,bicep,embed,ember,,
leash,3,salet,aisle,leash,,,
hound,4,salet,brick,dough,hound,,
bushy,3,salet,bison,bushy,,,
guile,3,salet,bloke,guile,,,
clash,3,salet,clasp,clash,,,
cloud,3,salet,blimp,cloud,,,
binge,3,salet,begun,binge,,,
groom,5,salet,brick,frond,proxy,groom,
lingo,4,salet,blimp,girly,lingo,,
glint,4,salet,blurt,flint,glint,,
paddy,5,salet,bacon,dairy,gaudy,paddy,
clout,3,salet,blurt,clout,,,
inept,5,salet,befit,edict,inert,inept,
blare,6,salet,agile,blade,blame,blaze,blare
botch,3,salet,birth,botch,,,
cabby,3,salet,bacon,cabby,,,
forum,3,salet,brick,forum,,,
hatch,6,salet,batch,patch,watch,catch,hatch
coral,3,salet,along,coral,,,
askew,2,salet,askew,,,,
beach,3,salet,abide,beach,,,
annul,4,salet,along,anvil,annul,,
duvet,3,salet,comet,duvet,,,
aider,2,salet,aider,,,,
flank,3,salet,along,flank,,,
class,3,salet,clasp,class,,,
outgo,4,salet,birth,outdo,outgo,,
facet,3,salet,cadet,facet,,,
corer,5,salet,bicep,coven,cower,corer,
began,3,salet,abide,began,,,
maybe,3,salet,badge,maybe,,,
beset,4,salet,onset,upset,beset,,
cruel,4,salet,bluer,gruel,cruel,,
lipid,3,salet,blimp,lipid,,,
maple,3,salet,cable,maple,,,
syrup,4,salet,scion,shrub,syrup,,
remit,4,salet,befit,merit,remit,,
mount,4,salet,brunt,count,mount,,
ripen,4,salet,bicep,piney,ripen,,
ether,4,salet,inter,tower,ether,,
nerve,4,salet,begun,denim,nerve,,
haste,3,salet,caste,haste,,,
smile,3,salet,slice,smile,,,
choir,4,salet,brick,curio,choir,,
rhyme,4,salet,begun,chore,rhyme,,
print,3,salet,brunt,print,,,
matey,3,salet,cater,matey,,,
fanny,5,salet,bacon,handy,mangy,fanny,
place,5,salet,agile,blade,flake,place,
camel,5,salet,bagel,hazel,navel,camel,
photo,3,salet,birth,photo,,,
gorge,4,salet,begun,gripe,gorge,,
ferry,5,salet,begun,decor,jerky,ferry,
niece,5,salet,begun,crone,mince,niece,
heath,4,salet,acute,death,heath,,
begun,2,salet,begun,,,,
humor,4,salet,brick,horny,humor,,
super,5,salet,screw,skier,sober,super,
setup,4,salet,smite,stern,setup,,
havoc,3,salet,bacon,havoc,,,
scone,2,salet,scone,,,,
biddy,4,salet,brick,bingo,biddy,,
alarm,4,salet,along,album,alarm,,
birch,3,salet,brick,birch,,,
cycle,5,salet,bloke,lunge,rifle,cycle,
sheep,4,salet,screw,shied,sheep,,
clove,4,salet,bloke,clone,clove,,
class,4,salet,clasp,clash,class,,
belly,4,salet,belch,below,belly,,
canny,4,salet,bacon,candy,canny,,
dusty,2,salet,dusty,,,,
panic,5,salet,bacon,candy,manic,panic,
freed,5,salet,bicep,dozen,ruder,freed,
humph,4,salet,brick,dough,humph,,
nasal,3,salet,basal,nasal,,,
lemur,4,salet,bloke,devil,lemur,,
conic,4,salet,brick,cumin,conic,,
pasty,3,salet,nasty,pasty,,,
fluid,3,salet,blimp,fluid,,,
dwarf,5,salet,adorn,chard,diary,dwarf,
erase,4,salet,abuse,chase,erase,,
crump,4,salet,brick,crony,crump,,
afoul,3,salet,along,afoul,,,
grill,4,salet,blimp,child,grill,,
built,3,salet,blurt,built,,,
oddly,4,salet,blimp,could,oddly,,
krill,4,salet,blimp,child,krill,,
board,4,salet,adorn,hoard,board,,
forum,4,salet,brick,horny,forum,,
scale,3,salet,slave,scale,,,
stint,4,salet,shift,skirt,stint,,
penny,3,salet,being,penny,,,
clone,3,salet,bloke,clone,,,
again,3,salet,adorn,again,,,
hasty,3,salet,nasty,hasty,,,
elder,5,salet,bluer,flier,older,elder,
nudge,3,salet,being,nudge,,,
missy,6,salet,bison,fishy,risky,wispy,missy
avert,4,salet,adept,agent,avert,,
scrub,3,salet,scion,scrub,,,
mouse,3,salet,chose,mouse,,,
shady,3,salet,scamp,shady,,,
silky,2,salet,silky,,,,
daisy,3,salet,basic,daisy,,,
awash,4,salet,arson,abyss,awash,,
blaze,5,salet,agile,blade,blame,blaze,
splat,2,salet,splat,,,,
civil,5,salet,blimp,girly,livid,civil,
roomy,5,salet,brick,horny,rowdy,roomy,
bravo,4,salet,adorn,roach,bravo,,
awful,4,salet,along,amply,awful,,
eight,4,salet,befit,edict,eight,,
gland,3,salet,along,gland,,,
madly,3,salet,badly,madly,,,
awash,4,salet,arson,abyss,awash,,
spare,4,salet,scare,share,spare,,
barge,3,salet,badge,barge,,,
clank,6,salet,along,flank,plank,blank,clank
satin,2,salet,satin,,,,
flail,5,salet,along,flack,flair,flail,
bless,3,salet,flesh,bless,,,
hydro,4,salet,brick,horny,hydro,,
fixer,4,salet,bicep,diner,fixer,,
dully,5,salet,filmy,bulky,pulpy,dully,
drank,4,salet,adorn,brand,drank,,
sooty,3,salet,sixth,sooty,,,
cagey,3,salet,baker,cagey,,,
stock,3,salet,sixth,stock,,,
afoul,3,salet,along,afoul,,,
briar,4,salet,adorn,graph,briar,,
cheat,3,salet,adept,cheat,,,
drama,4,salet,adorn,braid,drama,,
lipid,4,salet,blimp,pupil,lipid,,
brown,3,salet,brick,brown,,,
sandy,2,salet,sandy,,,,
baler,2,salet,baler,,,,
afoul,3,salet,along,afoul,,,
fresh,3,salet,chose,fresh,,,
hippo,4,salet,brick,dingo,hippo,,
cramp,4,salet,adorn,graph,cramp,,
axiom,3,salet,adorn,axiom,,,
press,4,salet,chose,dress,press,,
fried,4,salet,bicep,grief,fried,,
chant,3,salet,abort,chant,,,
basal,2,salet,basal,,,,
minus,3,salet,bison,minus,,,
parry,5,salet,bacon,dairy,marry,parry,
abase,3,salet,abuse,abase,,,
decal,4,salet,agile,bleak,decal,,
agony,3,salet,adorn,agony,,,
clear,4,salet,agile,bleak,clear,,
knoll,4,salet,blimp,could,knoll,,
admin,3,salet,adorn,admin,,,
eager,6,salet,baker,caper,gamer,wager,eager
slate,2,salet,slate,,,,
poppy,5,salet,brick,dough,woozy,poppy,
gloss,4,salet,blush,floss,gloss,,
focus,3,salet,bison,focus,,,
canoe,4,salet,badge,farce,canoe,,
jazzy,6,salet,bacon,dairy,gawky,happy,jazzy
inbox,3,salet,brick,inbox,,,
tenth,4,salet,brute,deity,tenth,,
stint,4,salet,shift,skirt,stint,,
clued,3,salet,bluer,clued,,,
brink,3,salet,brick,brink,,,
exact,5,salet,adept,begat,enact,exact,
merge,5,salet,being,gecko,hedge,merge,
hippo,4,salet,brick,dingo,hippo,,
fling,3,salet,blimp,fling,,,
chess,3,salet,chose,chess,,,
gamer,4,salet,baker,caper,gamer,,
reuse,4,salet,chose,guise,reuse,,
banjo,3,salet,bacon,banjo,,,
baste,5,salet,caste,paste,waste,baste,
bosom,3,salet,bison,bosom,,,
satyr,2,salet,satyr,,,,
balmy,2,salet,balmy,,,,
saint,2,salet,saint,,,,
mirth,4,salet,birth,girth,mirth,,
bleak,3,salet,agile,bleak,,,
delve,4,salet,belch,felon,delve,,
avian,4,salet,adorn,again,avian,,
nurse,4,salet,chose,guise,nurse,,
charm,3,salet,adorn,charm,,,
cater,2,salet,cater,,,,
flirt,3,salet,blurt,flirt,,,
gland,3,salet,along,gland,,,
inter,2,salet,inter,,,,
panic,5,salet,bacon,candy,manic,panic,
dully,6,salet,filmy,bulky,pulpy,gully,dully
mummy,5,salet,brick,dough,jumpy,mummy,
demur,4,salet,being,decor,demur,,
ensue,4,salet,chose,issue,ensue,,
gayer,False,salet,baker,caper,wafer,gamer,gazer
parer,5,salet,baker,caper,payer,parer,
primo,4,salet,brick,grind,primo,,
sense,5,salet,scope,shire,segue,sense,
filmy,2,salet,filmy,,,,
attic,4,salet,actor,antic,attic,,
trace,3,salet,acute,trace,,,
cress,3,salet,chose,cress,,,
clout,4,salet,blurt,flout,clout,,
comfy,4,salet,brick,cough,comfy,,
fault,2,salet,fault,,,,
grade,3,salet,abide,grade,,,
dough,3,salet,brick,dough,,,
crawl,4,salet,along,brawl,crawl,,
dowry,5,salet,brick,horny,rowdy,dowry,
devil,3,salet,bloke,devil,,,
lynch,4,salet,blimp,could,lynch,,
pouty,4,salet,birth,junto,pouty,,
along,2,salet,along,,,,
growl,4,salet,blimp,could,growl,,
debug,3,salet,being,debug,,,
adapt,4,salet,abort,admit,adapt,,
label,3,salet,bagel,label,,,
melee,3,salet,golem,melee,,,
moral,6,salet,aloud,zonal,focal,royal,moral
short,3,salet,shift,short,,,
lathe,2,salet,lathe,,,,
dully,6,salet,gulch,bulky,pulpy,fully,dully
album,3,salet,aloud,album,,,
finer,4,salet,bicep,diner,finer,,
cable,2,salet,cable,,,,
scrub,4,salet,scion,scrum,scrub,,
butch,4,salet,birth,botch,butch,,
anvil,4,salet,aloud,amply,anvil,,
after,2,salet,after,,,,
aorta,3,salet,actor,aorta,,,
apply,4,salet,aloud,amply,apply,,
churn,4,salet,brick,chord,churn,,
frank,5,salet,adorn,crank,prank,frank,
foggy,4,salet,brick,howdy,foggy,,
spawn,5,salet,scamp,soapy,spank,spawn,
aorta,3,salet,actor,aorta,,,
inlay,3,salet,aglow,inlay,,,
derby,3,salet,being,derby,,,
grape,5,salet,abide,chafe,graze,grape,
along,3,salet,aloud,along,,,
begin,3,salet,being,begin,,,
ivory,3,salet,brick,ivory,,,
bloke,2,salet,bloke,,,,
lodge,4,salet,clerk,lemon,lodge,,
excel,5,salet,bluer,dowel,impel,excel,
comfy,4,salet,brick,cough,comfy,,
green,5,salet,bicep,dozen,hymen,green,
merry,5,salet,being,decor,jerky,merry,
fussy,5,salet,bison,mushy,dusky,fussy,
outgo,4,salet,birth,outdo,outgo,,
koala,5,salet,aloud,zonal,voila,koala,
aging,4,salet,adorn,aping,aging,,
debar,4,salet,abide,beard,debar,,
slyly,5,salet,scold,surly,shyly,slyly,
coast,3,salet,ascot,coast,,,
mealy,3,salet,agile,mealy,,,
storm,4,salet,sixth,stomp,storm,,
dusty,3,salet,gusto,dusty,,,
inter,3,salet,often,inter,,,
drift,3,salet,brunt,drift,,,
amaze,5,salet,abide,argue,awoke,amaze,
caddy,5,salet,bacon,magic,carry,caddy,
alarm,5,salet,aloud,align,alpha,alarm,
carat,3,salet,caput,carat,,,
brink,3,salet,brick,brink,,,
music,3,salet,bison,music,,,
randy,4,salet,bacon,handy,randy,,
mangy,4,salet,bacon,handy,mangy,,
pearl,4,salet,agile,leach,pearl,,
afoot,4,salet,abort,adopt,afoot,,
ruler,4,salet,golem,idler,ruler,,
bench,3,salet,being,bench,,,
album,3,salet,aloud,album,,,
expel,5,salet,bluer,dowel,impel,expel,
goose,4,salet,chose,prose,goose,,
audit,4,salet,abort,admit,audit,,
above,3,salet,abide,above,,,
group,5,salet,brick,frond,proxy,group,
juice,3,salet,being,juice,,,
caulk,3,salet,badly,caulk,,,
along,3,salet,aloud,along,,,
obese,4,salet,chose,noise,obese,,
guilt,3,salet,blurt,guilt,,,
liken,4,salet,bluer,dowel,liken,,
dummy,5,salet,brick,howdy,pudgy,dummy,
rhino,3,salet,brick,rhino,,,
catch,5,salet,batch,patch,watch,catch,
helix,3,salet,belch,helix,,,
petal,4,salet,fetal,metal,petal,,
ether,4,salet,often,threw,ether,,
lucky,4,salet,blimp,could,lucky,,
froth,3,salet,birth,froth,,,
dowdy,4,salet,brick,howdy,dowdy,,
optic,4,salet,birth,motif,optic,,
raven,4,salet,baker,harem,raven,,
noisy,3,salet,bison,noisy,,,
pizza,4,salet,adorn,champ,pizza,,
brash,4,salet,arson,crash,brash,,
snail,4,salet,scald,shawl,snail,,
chick,4,salet,brick,quick,chick,,
aside,3,salet,abuse,aside,,,
china,3,salet,adorn,china,,,
butte,3,salet,brute,butte,,,
felon,3,salet,belch,felon,,,
idyll,4,salet,blimp,girly,idyll,,
aider,4,salet,amber,anger,aider,,
madam,4,salet,bacon,dairy,madam,,
nanny,6,salet,bacon,handy,mangy,fanny,nanny
thrum,4,salet,birth,throw,thrum,,
gummy,5,salet,brick,howdy,jumpy,gummy,
image,3,salet,abide,image,,,
prior,6,salet,brick,grind,privy,primo,prior
query,4,salet,being,coupe,query,,
quasi,4,salet,arson,chasm,quasi,,
leery,3,salet,clerk,leery,,,
surer,4,salet,screw,siren,surer,,
showy,3,salet,scion,showy,,,
gaudy,4,salet,bacon,dairy,gaudy,,
merit,3,salet,befit,merit,,,
pasta,3,salet,nasty,pasta,,,
mucky,3,salet,brick,mucky,,,
annex,3,salet,amber,annex,,,
covey,5,salet,bicep,coven,cover,covey,
adore,3,salet,abide,adore,,,
lemon,3,salet,clerk,lemon,,,
carat,3,salet,caput,carat,,,
